part_id,assembly,part_name,description,qty_per_instrument,unit,material_spec,make_buy,drawing_ref,estimated_cost_each,estimated_cost_total,notes
SKZ-T-01,SKZ-TOYO Arka,Arka Tube (Toyo),Bamboo or PVC closed-pipe tube — 7 unique lengths for arka,7,pc,Bamboo cañahueca ~1.0-in OD / 0.750-in bore OR PVC Sch40 1-in nominal,Buy (bamboo) or Buy+bore (PVC),drawings/siku-toyo-elevation.svg,0.50,3.50,Cut to L_cut lengths from family-spec.csv; seal bottom end
SKZ-T-02,SKZ-TOYO Ira,Ira Tube (Toyo),Bamboo or PVC closed-pipe tube — 6 unique lengths for ira,6,pc,Same bore spec as T-01,Buy (bamboo) or Buy+bore (PVC),drawings/siku-toyo-elevation.svg,0.50,3.00,Cut to L_cut lengths from family-spec.csv; seal bottom end
SKZ-T-03,SKZ-TOYO Shared,Bottom Plug (Toyo),Beeswax pour plug sealing closed end of each tube,13,pc,Beeswax — food grade or filtered; pour depth 3/8",Make,drawings/siku-wax-plug-detail.svg,0.10,1.30,Melt to 160°F; pour in sealing stand fixture; 30 min cure
SKZ-T-04,SKZ-TOYO Shared,Frame Rail — Top (Toyo),Cherry or walnut S4S rail with 13 CNC-routed tube pockets,1,pc,Cherry or walnut S4S 3/4" x 1.5" x 15",Make,drawings/siku-frame-rail-detail.svg,6.00,6.00,Pocket width = 0.995"; depth = 0.333"; pitch = 1.063" C-C
SKZ-T-05,SKZ-TOYO Shared,Frame Rail — Bottom (Toyo),Cherry or walnut S4S rail — bottom binding rail,1,pc,Cherry or walnut S4S 3/4" x 1.5" x 15",Make,drawings/siku-frame-rail-detail.svg,6.00,6.00,Same spec as top rail; Danish oil finish before tube insertion
SKZ-T-06,SKZ-TOYO Shared,Binding Cord (Toyo),Waxed linen or nylon cord for tube array binding,1,lot,Waxed linen 1mm or equivalent; ~100 ft per instrument,Buy,,0.25,0.25,3+ wraps per tube; square knot finish at rail ends
SKZ-T-07,SKZ-TOYO Shared,Wood Glue / Epoxy,Adhesive for rail pocket bonding (optional),1,lot,Titebond II or 5-min epoxy,Buy,,0.50,0.50,Thin film in pockets before tube insertion; wipe squeeze-out
SKZ-Z-01,SKZ-ZANKA Arka,Arka Tube (Zanka),Bamboo or PVC closed-pipe tube — 7 unique lengths for arka,7,pc,Bamboo cañahueca ~0.821-in OD / 0.625-in bore OR PVC 1/2-in nominal Sch40,Buy (bamboo) or Buy+bore (PVC),drawings/siku-zanka-elevation.svg,0.40,2.80,Cut to L_cut lengths from family-spec.csv; seal bottom end
SKZ-Z-02,SKZ-ZANKA Ira,Ira Tube (Zanka),Bamboo or PVC closed-pipe tube — 6 unique lengths for ira,6,pc,Same bore spec as Z-01,Buy (bamboo) or Buy+bore (PVC),drawings/siku-zanka-elevation.svg,0.40,2.40,Cut to L_cut lengths from family-spec.csv; seal bottom end
SKZ-Z-03,SKZ-ZANKA Shared,Bottom Plug (Zanka),Beeswax pour plug sealing closed end of each tube,13,pc,Beeswax — pour depth 3/8",Make,drawings/siku-wax-plug-detail.svg,0.08,1.04,See assembly-manual.md Phase 3
SKZ-Z-04,SKZ-ZANKA Shared,Frame Rail — Top (Zanka),Cherry or walnut S4S rail with 13 CNC-routed tube pockets,1,pc,Cherry or walnut S4S 3/4" x 1.5" x 12.5",Make,drawings/siku-frame-rail-detail.svg,5.00,5.00,Pocket width = 0.816"; depth = 0.274"; pitch = 0.884" C-C
SKZ-Z-05,SKZ-ZANKA Shared,Frame Rail — Bottom (Zanka),Cherry or walnut S4S rail — bottom binding rail,1,pc,Cherry or walnut S4S 3/4" x 1.5" x 12.5",Make,drawings/siku-frame-rail-detail.svg,5.00,5.00,Same spec as top rail; Danish oil before tube insertion
SKZ-Z-06,SKZ-ZANKA Shared,Binding Cord (Zanka),Waxed linen or nylon cord,1,lot,Waxed linen 1mm or equivalent; ~80 ft per instrument,Buy,,0.20,0.20,3+ wraps per tube; square knot finish
SKZ-M-01,SKZ-MALTA Arka,Arka Tube (Malta),Bamboo or PVC closed-pipe tube — 7 unique lengths for arka,7,pc,Bamboo cañahueca ~0.658-in OD / 0.500-in bore OR PVC 3/8-in nominal,Buy (bamboo) or Buy+bore (PVC),drawings/siku-malta-elevation.svg,0.35,2.45,Cut to L_cut lengths from family-spec.csv; seal bottom end
SKZ-M-02,SKZ-MALTA Ira,Ira Tube (Malta),Bamboo or PVC closed-pipe tube — 6 unique lengths for ira,6,pc,Same bore spec as M-01,Buy (bamboo) or Buy+bore (PVC),drawings/siku-malta-elevation.svg,0.35,2.10,Cut to L_cut lengths from family-spec.csv; seal bottom end
SKZ-M-03,SKZ-MALTA Shared,Bottom Plug (Malta),Beeswax pour plug sealing closed end of each tube,13,pc,Beeswax — pour depth 1/4",Make,drawings/siku-wax-plug-detail.svg,0.06,0.78,Plug depth shallower for smaller bore; see assembly-manual.md
SKZ-M-04,SKZ-MALTA Shared,Frame Rail — Top (Malta),Cherry or walnut S4S rail with 13 CNC-routed tube pockets,1,pc,Cherry or walnut S4S 3/4" x 1.5" x 10.5",Make,drawings/siku-frame-rail-detail.svg,4.00,4.00,Pocket width = 0.653"; depth = 0.219"; pitch = 0.721" C-C
SKZ-M-05,SKZ-MALTA Shared,Frame Rail — Bottom (Malta),Cherry or walnut S4S rail — bottom binding rail,1,pc,Cherry or walnut S4S 3/4" x 1.5" x 10.5",Make,drawings/siku-frame-rail-detail.svg,4.00,4.00,Same spec as top rail
SKZ-M-06,SKZ-MALTA Shared,Binding Cord (Malta),Waxed linen or nylon cord,1,lot,Waxed linen 1mm; ~60 ft per instrument,Buy,,0.15,0.15,
SKZ-C-01,SKZ-CHILI Arka,Arka Tube (Chili),Bamboo or PVC closed-pipe tube — 7 unique lengths for arka,7,pc,Bamboo cañahueca ~0.493-in OD / 0.375-in bore OR carbon arrow shaft,Buy (bamboo) or Buy+bore (PVC),drawings/siku-chili-elevation.svg,0.30,2.10,WARNING: Arka-7 (F#6 = 1.982") is borderline — see risks.md AC-04
SKZ-C-02,SKZ-CHILI Ira,Ira Tube (Chili),Bamboo or PVC closed-pipe tube — 6 unique lengths for ira,6,pc,Same bore spec as C-01,Buy (bamboo) or Buy+bore (PVC),drawings/siku-chili-elevation.svg,0.30,1.80,Cut to L_cut lengths from family-spec.csv; seal bottom end
SKZ-C-03,SKZ-CHILI Shared,Bottom Plug (Chili),Beeswax pour plug — natural bamboo node preferred for Chili size,13,pc,Beeswax or natural bamboo node; plug depth 1/4",Make,drawings/siku-wax-plug-detail.svg,0.05,0.65,Natural bamboo node preferred for Chili size
SKZ-C-04,SKZ-CHILI Shared,Frame Rail — Top (Chili),Cherry or walnut S4S rail with 13 CNC-routed tube pockets,1,pc,Cherry or walnut S4S 3/4" x 1.5" x 8.5",Make,drawings/siku-frame-rail-detail.svg,3.50,3.50,Pocket width = 0.488"; depth = 0.164"; pitch = 0.556" C-C
SKZ-C-05,SKZ-CHILI Shared,Frame Rail — Bottom (Chili),Cherry or walnut S4S rail — bottom binding rail,1,pc,Cherry or walnut S4S 3/4" x 1.5" x 8.5",Make,drawings/siku-frame-rail-detail.svg,3.50,3.50,Same spec as top rail
SKZ-C-06,SKZ-CHILI Shared,Binding Cord (Chili),Waxed linen or nylon cord,1,lot,Waxed linen 0.5-1mm; ~50 ft per instrument,Buy,,0.10,0.10,Thinner cord preferred for Chili — less bulk around narrow tubes
SKZ-SHARED-01,All Members,Chromatic Tuner,Clip-on or phone-based chromatic tuner for pitch validation,1,ea,Accuracy ±1 cent or better; Snark SN-8 or GuitarTuna app,Buy,,15.00,15.00,Shared across all 4 builds; use same tuner for all measurements
SKZ-SHARED-02,All Members,Beeswax Block,Raw filtered beeswax for tube end plugs; shared across all members,1,ea,4 oz block; food-grade or filtered,Buy,,3.00,3.00,Melts at ~145°F; pour at 160°F
SKZ-SHARED-03,All Members,Abrasive Paper,Sandpaper for tube end squaring and finishing,1,lot,80/150/320/400 grit assortment,Buy,,2.00,2.00,Flat on glass plate for tube end squaring
SKZ-SHARED-04,All Members,Finish — Danish Oil,Wood finish for cherry/walnut frame rails,1,ea,Danish oil or tung oil — 1 pint,Buy,,8.00,8.00,Apply before tube insertion; 2 coats; buff to satin
